Titre,thématique
Budgets Votés - Etats Spéciaux d'Arrondissements 2009 - 2017,Administration et Finances Publiques
Elections - Législatives 2017 - 2èmeTour,Citoyenneté
Bilan Comptable - Détaillé,Administration et Finances Publiques
Elections - Législatives 2007 - 2èmeTour,Citoyenneté
Elections - Présidentielles 2012 - 2èmeTour,Citoyenneté
Dans Ma Rue - Historique - Anomalies signalées,"Equipements, Services, Social"
CASVP - Immobilisations - Etat des amortissements,Administration et Finances Publiques
Plan de voirie - Chaussées,Mobilité et Espace Public
Plan de voirie - Aires mixtes véhicules et piétons,Mobilité et Espace Public
Plan de voirie - Murs,Mobilité et Espace Public
Délibération Emploi,Administration et Finances Publiques
Journée sans voiture - Périmètres 27-09-2020,Mobilité et Espace Public
Emplacements de stationnement des trottinettes,Mobilité et Espace Public
Stationnement sur voie publique - Zones de stationnement résidentiels,Mobilité et Espace Public
Plan de voirie - Trottoirs filaires,Mobilité et Espace Public
Zones des caves inondées - 1910,Urbanisme et Logements
Elections - Municipales 2020 - 1erTour,Citoyenneté
Eclairage public,Mobilité et Espace Public
Plan de voirie - Points de nivellement - Etiquettes,Mobilité et Espace Public
Plan de voirie - Terre-pleins,Mobilité et Espace Public
Elections - Législatives 2007 - 1erTour,Citoyenneté
Déchets ménagers - Points d'apport volontaire - Composteurs,Environnement
Stationnement en ouvrage,Mobilité et Espace Public
Zones de rencontre,Mobilité et Espace Public
Que Faire à Paris ? - Evènements et activités,Culture
Plan de voirie - Rampes de souterrains,Mobilité et Espace Public
Plan de voirie - Voies en escalier,Mobilité et Espace Public
Logement - Encadrement des loyers 2019,Urbanisme et Logements
Comptage vélo - Historique - Données Compteurs et Sites de comptage,Mobilité et Espace Public
Plan de voirie - Points de nivellement - Repères,Mobilité et Espace Public
Fontaines à boire,"Equipements, Services, Social"
Horodateurs – Transactions de paiement,Mobilité et Espace Public
PLU - Filets de hauteur,Urbanisme et Logements
Plan de voirie - Pistes cyclables et couloirs de bus,Mobilité et Espace Public
Chantiers à Paris,Mobilité et Espace Public
Plan de voirie - Séparateurs - franchissement - Stationnement,Mobilité et Espace Public
Plan de voirie - Emprises îlots privés,Mobilité et Espace Public
Zones 30,Mobilité et Espace Public
Plan de voirie - Ilots directionnels,Mobilité et Espace Public
Déconfinement - Rues aménagées pour piétons,Mobilité et Espace Public
PLU - Protection du commerce et de l'artisanat,Urbanisme et Logements
Arrondissements,Urbanisme et Logements
Comptage routier - Historique - Données trafic issues des capteurs permanents,Mobilité et Espace Public
Bornes d'appel taxi,Mobilité et Espace Public
Prénoms déclarés,Citoyenneté
PLU - Espaces libres protégés (ELP),Urbanisme et Logements
PLU - Plan de zonage,Urbanisme et Logements
Les membres du Conseil de Paris depuis 1977,Citoyenneté
Comptage routier - Référentiel géographique,Mobilité et Espace Public
Plan de voirie - Portes cochères,Mobilité et Espace Public
CASVP - Paris Logement Personnes âgées - Personnes en situation de handicap,"Equipements, Services, Social"
Stations Mobilib',Mobilité et Espace Public
Elections - Municipales 2008 - 1erTour,Citoyenneté
"CoSto, le réseau des commerçants connectés à Paris",Commerces et Tourisme
Aires piétonnes,Mobilité et Espace Public
PLU - Voies dans les Bois,Urbanisme et Logements
Secteurs des bureaux de vote,Citoyenneté
Stationnement sur voie publique - zones tarifaires,Mobilité et Espace Public
Les titres les plus prêtés dans les bibliothèques de prêt,Culture
Paris Recharge - Points de recharge pour véhicules électriques - Données statiques,Mobilité et Espace Public
CASVP - Paris Energie Familles,"Equipements, Services, Social"
Dénominations des emprises des voies actuelles,Urbanisme et Logements
Paris Wi-Fi - Utilisation des hotspots du réseau,"Equipements, Services, Social"
Les arbres remarquables,Environnement
Postes publics des bibliothèques,Culture
Plan de voirie - Repère de nivellement,Mobilité et Espace Public
Plan de voirie - Détails de bâtis,Mobilité et Espace Public
Plan de voirie - Emprises espaces verts,Mobilité et Espace Public
Etalages et Terrasses,Urbanisme et Logements
Stationnement sur voie publique - emprises,Mobilité et Espace Public
Elections - Législatives 2017 - 1erTour,Citoyenneté
Travaux perturbants la circulation,Mobilité et Espace Public
Du vert près de chez moi,Environnement
CASVP - Liste des centres d'action sociale et services sociaux de proximité,"Equipements, Services, Social"
Observatoire des mobilités - Baromètre trimestriel des déplacements,Mobilité et Espace Public
Ilots de fraîcheur - Equipements / Activités,Environnement
Dans Ma Rue - Anomalies signalées,"Equipements, Services, Social"
PLU - Secteurs de risques délimités par le PPRI,Urbanisme et Logements
Plan de voirie - Accès piétons Métro et Parkings,Mobilité et Espace Public
Elections - Municipales 2020 - 2èmeTour,Citoyenneté
Vélib' - Localisation et caractéristique des stations,Mobilité et Espace Public
Déconfinement - Parking relais - Doublement des places,Mobilité et Espace Public
CASVP - Compte administratif - Budget général,Administration et Finances Publiques
Acheter à Paris - Commerçants parisiens - Retrait de commande ou livraison,Commerces et Tourisme
Elections - Municipales 2008 - 2èmeTour,Citoyenneté
Déconfinement - Pistes cyclables temporaires,Mobilité et Espace Public
PLU - Annexes - Droit de Préemption Urbain Renforcé,Urbanisme et Logements
Comptage routier - Données trafic issues des capteurs permanents,Mobilité et Espace Public
Comptage vélo - Données compteurs,Mobilité et Espace Public
Etablissements scolaires – Ecoles élémentaires,"Equipements, Services, Social"
Autorisations d'Urbanisme - Historique,Urbanisme et Logements
Plan de voirie - Emprises Ferroviaires,Mobilité et Espace Public
Plaques commémoratives 1939-1945,Culture
PLU - Liaisons piétonnières - Passages sous porche - Voies à créer,Urbanisme et Logements
Réseau des itinéraires cyclables,Mobilité et Espace Public
Points de collectes des sapins,Environnement
CASVP - Liste des Permanences Sociales d'Accueil  et Espaces Solidarité Insertion,"Equipements, Services, Social"
Espaces verts et assimilés,Environnement
Registre des autorisations de changement d'usage pour les meublés touristiques,Urbanisme et Logements
Elections - Régionales 2021 - 2èmeTour,Citoyenneté
Toilettes publiques,"Equipements, Services, Social"
"Ilots de fraîcheur - Espaces verts ""frais""",Environnement
Belib' - Points de recharge pour véhicules électriques - Données statiques,Mobilité et Espace Public
Comptage vélo - Compteurs,Mobilité et Espace Public
Les arbres,Environnement
Plan de voirie - Mobiliers urbains - Bornes - Barrières - Potelets,Mobilité et Espace Public
Budget Participatif - Les opérations des projets lauréats jusqu’à leurs réalisations,Citoyenneté
Les 1000 titres les plus réservés dans les bibliothèques de prêt,Culture
PLU - Espaces Verts Protégés (EVP),Urbanisme et Logements
Secteurs scolaires – Collèges,"Equipements, Services, Social"
Plan de voirie - Mobiliers urbains - Abris voyageurs - Points d'arrêts bus,Mobilité et Espace Public
Secteurs scolaires – Ecoles maternelles,"Equipements, Services, Social"
Elections - Régionales 2021 - 1erTour,Citoyenneté
Budget participatif - Les projets lauréats,Citoyenneté
Adresses,Urbanisme et Logements
Paris Wi-Fi - Sites disposant du service,"Equipements, Services, Social"
PLU - Zonage du logement social,Urbanisme et Logements
Autorisations d'urbanisme - 6 derniers mois,Urbanisme et Logements
Un verger dans mon école,Environnement
Modules sonores passages piétons,Mobilité et Espace Public
Tri mobile,"Equipements, Services, Social"
Stationnement sur voie publique - emplacements,Mobilité et Espace Public
Les commerces de la SEMAEST,Commerces et Tourisme
Belib' - Points de recharge pour véhicules électriques - Disponibilité temps réel,Mobilité et Espace Public
Vélib - Vélos et bornes - Disponibilité temps réel,Mobilité et Espace Public
